dataset,column,description,data_type,module,source_inspiration
denial_risk.csv,case_id,Synthetic case identifier,text/id,All,administrative key
denial_risk.csv,payer_family,"High-level payer group such as Medicare Advantage, Commercial, Part D",categorical,Denial Risk,CMS/plan context
denial_risk.csv,payer_name,Synthetic payer name family,categorical,"Denial Risk, Denial Reason",commercial payer policy context
denial_risk.csv,plan_type,Plan type such as MA-HMO or Commercial-PPO,categorical,Denial Risk,CMS plan/formulary concepts
denial_risk.csv,patient_age,Patient age with intentional rare dirty outliers,numeric,Denial Risk,synthetic patient demographics
denial_risk.csv,age_group,Bucketed age group,categorical,Denial Risk,derived feature
denial_risk.csv,provider_specialty,Provider specialty,categorical,Denial Risk,NPPES-inspired provider metadata
denial_risk.csv,diagnosis_category,Broad condition category,categorical,All,clinical context
denial_risk.csv,diagnosis_code,Synthetic ICD-10-like diagnosis code,text/code,Denial Risk,"ICD-10 structure inspired, not actual code guarantee"
denial_risk.csv,request_type,"Medication, Imaging, Procedure, DME, Surgery, Therapy, Infusion",categorical,All,prior-auth service classes
denial_risk.csv,procedure_code,Synthetic HCPCS-like service code,text/code,"Denial Risk, Denial Reason",HCPCS-like format only
denial_risk.csv,ndc_code,Synthetic NDC-like code for medication requests,text/code,Denial Risk,NDC-like format only
denial_risk.csv,site_of_care,Care site such as office/outpatient/home/pharmacy,categorical,Denial Risk,claims/EHR context
denial_risk.csv,network_status,In network/out of network/unknown,categorical,Denial Risk,benefit eligibility logic
denial_risk.csv,urgency,"Standard, Expedited, Urgent",categorical,Denial Risk,PA workflow urgency
denial_risk.csv,prior_auth_required,Whether PA is required for this synthetic request,binary,Denial Risk,payer policy proxy
denial_risk.csv,pa_form_submitted,Whether prior-auth form is submitted,binary,"Denial Risk, Completeness",PA submission checklist
denial_risk.csv,clinical_note_present,Clinical note present flag,binary,"Denial Risk, Completeness",document completeness
denial_risk.csv,diagnosis_code_present,Diagnosis code present flag,binary,"Denial Risk, Completeness",document completeness
denial_risk.csv,procedure_code_present,Procedure/service code present flag,binary,"Denial Risk, Completeness",document completeness
denial_risk.csv,lab_report_attached,Lab report attached flag,binary,"Denial Risk, Completeness",supporting documentation
denial_risk.csv,referral_attached,Referral attached flag,binary,"Denial Risk, Completeness",supporting documentation
denial_risk.csv,imaging_report_attached,Imaging report attached flag,binary,"Denial Risk, Completeness",supporting documentation
denial_risk.csv,previous_treatment_history_included,Whether previous treatment history is included,binary,Denial Risk,medical necessity and step therapy
denial_risk.csv,step_therapy_required,Whether synthetic formulary/policy requires step therapy,binary,Denial Risk,Part D formulary PA/ST/QL inspired
denial_risk.csv,step_therapy_met,Whether step therapy is documented as met,binary,Denial Risk,Part D formulary PA/ST/QL inspired
denial_risk.csv,quantity_limit_flag,Whether request is subject to quantity limit,binary,Denial Risk,Part D formulary PA/ST/QL inspired
denial_risk.csv,quantity_limit_exceeded,Whether requested quantity exceeds limit,binary,Denial Risk,Part D formulary PA/ST/QL inspired
denial_risk.csv,non_covered_flag,Whether item/service is treated as non-covered in synthetic policy,binary,Denial Risk,policy exclusion proxy
denial_risk.csv,duplicate_request_flag,Duplicate administrative request flag,binary,Denial Risk,administrative denial pattern
denial_risk.csv,coding_mismatch_flag,Diagnosis/procedure mismatch proxy,binary,Denial Risk,coverage code matching proxy
denial_risk.csv,supporting_doc_count,Count of supporting documents attached,numeric,Denial Risk,derived document feature
denial_risk.csv,required_condition_count,Synthetic count of required policy conditions,numeric,Denial Risk,policy complexity feature
denial_risk.csv,missing_required_conditions,Synthetic count of missing conditions,numeric,"Denial Risk, Denial Reason",key denial driver
denial_risk.csv,prior_denials_count,Past denial count for similar case/provider/patient,numeric,Denial Risk,history feature
denial_risk.csv,policy_match_score,"0 to 1 approximate match to policy, with intentional dirty outliers",numeric,Denial Risk,policy matching proxy
denial_risk.csv,note_completeness_score,"0 to 1 note completeness score, with intentional dirty outliers",numeric,Denial Risk,document completeness proxy
denial_risk.csv,payer_policy_strictness,Synthetic payer strictness score 0 to 1,numeric,Denial Risk,payer variation proxy
denial_risk.csv,requested_units,Requested units/days/visits,numeric,Denial Risk,claim/request feature
denial_risk.csv,requested_amount_usd,Synthetic requested amount in USD with rare outliers,numeric,Denial Risk,claims-like amount feature
denial_risk.csv,denial_probability_true_synthetic,Synthetic probability used to generate the label,numeric,Denial Risk,"for audit only, do not train on it"
denial_risk.csv,denial_outcome,Target label Approved or Denied,target/categorical,Denial Risk,classifier target
denial_risk.csv,detailed_denial_reason,Detailed synthetic denial reason or approved,target/categorical,Denial Risk,auxiliary label
denial_risk.csv,project_denial_reason,Project-level denial reason class or approved,target/categorical,Denial Risk,mapped label
